Step,Balance,Shares Held,Net Worth,Profit
195,10995.09310913086,0,10995.09310913086,995.0931091308594
196,10995.09310913086,0,10995.09310913086,995.0931091308594
197,10995.09310913086,0,10995.09310913086,995.0931091308594
198,44.942657470703125,[37.],10995.09310913086,995.0931091308594
199,11103.502838134766,0,11103.502838134766,1103.5028381347656
200,11103.502838134766,0,11103.502838134766,1103.5028381347656
201,11103.502838134766,0,11103.502838134766,1103.5028381347656
202,11103.502838134766,0,11103.502838134766,1103.5028381347656
203,3.873199462890625,[37.],11103.502838134766,1103.5028381347656
204,3.873199462890625,[37.],11067.243560791016,1067.2435607910156
205,3.873199462890625,[37.],11099.433380126953,1099.4333801269531
206,3.873199462890625,[37.],11117.563018798828,1117.5630187988281
207,11163.073425292969,0,11163.073425292969,1163.0734252929688
208,11163.073425292969,0,11163.073425292969,1163.0734252929688
209,11163.073425292969,0,11163.073425292969,1163.0734252929688
210,11163.073425292969,0,11163.073425292969,1163.0734252929688
211,243.19390869140625,[36.],11163.073425292969,1163.0734252929688
212,11264.234436035156,0,11264.234436035156,1264.2344360351562
213,11264.234436035156,0,11264.234436035156,1264.2344360351562
214,211.15447998046875,[36.],11264.234436035156,1264.2344360351562
215,11266.754699707031,0,11266.754699707031,1266.7546997070312
216,11266.754699707031,0,11266.754699707031,1266.7546997070312
217,11266.754699707031,0,11266.754699707031,1266.7546997070312
218,11266.754699707031,0,11266.754699707031,1266.7546997070312
219,11266.754699707031,0,11266.754699707031,1266.7546997070312
220,11266.754699707031,0,11266.754699707031,1266.7546997070312
221,11266.754699707031,0,11266.754699707031,1266.7546997070312
222,42.31439208984375,[36.],11266.754699707031,1266.7546997070312
223,42.31439208984375,[36.],11275.033996582031,1275.0339965820312
224,42.31439208984375,[36.],11271.794128417969,1271.7941284179688
225,11230.033996582031,0,11230.033996582031,1230.0339965820312
226,11230.033996582031,0,11230.033996582031,1230.0339965820312
227,35.47430419921875,[36.],11230.033996582031,1230.0339965820312
228,11316.794128417969,0,11316.794128417969,1316.7941284179688
229,11316.794128417969,0,11316.794128417969,1316.7941284179688
230,11316.794128417969,0,11316.794128417969,1316.7941284179688
231,11316.794128417969,0,11316.794128417969,1316.7941284179688
232,97.75360107421875,[36.],11316.794128417969,1316.7941284179688
233,97.75360107421875,[36.],11241.553161621094,1241.5531616210938
234,11310.313293457031,0,11310.313293457031,1310.3132934570312
235,11310.313293457031,0,11310.313293457031,1310.3132934570312
236,289.86346435546875,[35.],11310.313293457031,1310.3132934570312
237,289.86346435546875,[35.],11275.663635253906,1275.6636352539062
238,11263.41342163086,0,11263.41342163086,1263.4134216308594
239,11263.41342163086,0,11263.41342163086,1263.4134216308594
240,163.86325073242188,[35.],11263.41342163086,1263.4134216308594
241,163.86325073242188,[35.],11270.063507080078,1270.0635070800781
242,11346.363250732422,0,11346.363250732422,1346.3632507324219
243,11346.363250732422,0,11346.363250732422,1346.3632507324219
244,11346.363250732422,0,11346.363250732422,1346.3632507324219
245,11346.363250732422,0,11346.363250732422,1346.3632507324219
246,11346.363250732422,0,11346.363250732422,1346.3632507324219
247,11346.363250732422,0,11346.363250732422,1346.3632507324219
248,103.3128662109375,[35.],11346.363250732422,1346.3632507324219
249,103.3128662109375,[35.],11406.212951660156,1406.2129516601562
250,11403.412353515625,0,11403.412353515625,1403.412353515625
251,11403.412353515625,0,11403.412353515625,1403.412353515625
252,11403.412353515625,0,11403.412353515625,1403.412353515625
253,11403.412353515625,0,11403.412353515625,1403.412353515625
254,11403.412353515625,0,11403.412353515625,1403.412353515625
255,11403.412353515625,0,11403.412353515625,1403.412353515625
256,11403.412353515625,0,11403.412353515625,1403.412353515625
257,11403.412353515625,0,11403.412353515625,1403.412353515625
258,11403.412353515625,0,11403.412353515625,1403.412353515625
259,11403.412353515625,0,11403.412353515625,1403.412353515625
260,11403.412353515625,0,11403.412353515625,1403.412353515625
